date,Open,High,Low,Close,Adjclose,Volume,Returns,Value_Traded,Market_Cap,EPS,P/E_TTM,P/S_TTM,P/Cf_TTM,P/B_TTM,EV,EV/ebitda_TTM,EV/sales_TTM,5D_ADTV,21D_ADTV,63D_ADTV,126D_ADTV,189D_ADTV,252D_ADTV,21D_STDV,63D_STDV,126D_STDV,252D_STDV,20_EMA,55_EMA,200_EMA,RSI,MACD_Line,MACD_Sig,Hist,ADX,ROC,OBV
2010-02-25,5.9085,5.917,5.7925,5.91,5.91,190624680,-0.012696291346475097,1126591858.8,52599000000.0,0.10134831460674157,58.31374722838138,2.1461095923946303,15.972972972972974,3.5028636121470433,43555000000.0,27.795149968091895,1.7771022889550778,895946641.132,1574027837.9933333,,,,,0.3019304702948076,,,,5.983578904928743,,,42.60738389441595,-0.1286908041933259,-0.17103286521669647,0.04234206102337057,23.50014718475968,1.1726440126679893,-2195447580.0
2010-02-26,5.894,5.9715,5.85,5.92,5.92,114389320,0.0016920473773265332,677184774.4,52688000000.0,0.10134831460674157,58.41241685144124,2.149740911501897,16.0,3.508790623335109,43644000000.0,27.851946394384175,1.7807336080623444,864129273.036,1519971732.1552382,,,,,0.28486023877590516,,,,5.977523771126005,,,43.144415074053136,-0.11930528990862843,-0.16068735015508287,0.04138206024645444,22.328744228031702,0.31347962382444194,-2081058260.0
2010-03-01,5.9425,6.233,5.8765,6.227,6.227,265875000,0.0518581081081082,1655603625.0,55420300000.0,0.10134831460674157,61.44157427937916,2.2612224080949854,16.82972972972973,3.6907498668087375,46376300000.0,29.595596681557115,1.8922151046554327,1034546670.6639999,1435013238.0666668,,,,,0.3265632883773826,,,,6.001283411971148,,,56.57763233660877,-0.08610233381766985,-0.14577034688760027,0.059668013069930415,22.028807380252463,6.117927743694618,-1815183260.0
2010-03-02,6.2505,6.3675,6.24,6.2765,6.2765,241963960,0.007949253251967159,1518686794.94,55860850000.0,0.10134831460674157,61.929988913525506,2.279197437675956,16.963513513513515,3.720088572189664,46816850000.0,29.876738991703892,1.910190134236403,1172541349.244,1331289602.8657143,,,,,0.32734340079955754,,,,6.027494515592943,,,58.28887014798,-0.055158680654467496,-0.12764801364097372,0.07248933298650623,22.42528394221204,4.529935881422276,-1573219300.0
2010-03-03,6.27,6.347,6.2215,6.2945,6.2945,128860420,0.0028678403568866973,811111913.69,56021050000.0,0.10134831460674157,62.10759423503326,2.285733812069036,17.012162162162163,3.7307571923281833,46977050000.0,29.978972559029994,1.9167265086294831,1157835793.366,1156101282.384762,,,,,0.26614124158743335,,,,6.052923609345997,,,58.92281219906472,-0.028850591359599775,-0.10788852918469893,0.07903793782509916,22.64025353183883,5.206418184857098,-1444358880.0
2010-03-04,6.298,6.4425,6.2785,6.4265,6.4265,150189600,0.02097068869648111,965193464.4,57195850000.0,0.10134831460674157,63.41003325942351,2.3336672242849565,17.36891891891892,3.8089937400106555,48151850000.0,30.728685386088067,1.9646599208454036,1125556114.4859998,1072217024.7809522,,,,,0.2710211086279778,,,,6.088502313217806,,,63.324866718091954,0.0026198557102778963,-0.08578685220570356,0.08840670791598146,23.29505988977845,9.359312515953366,-1294169280.0
2010-03-05,6.4565,6.4725,6.3535,6.4455,6.4455,135416520,0.00295650820820037,872827179.66,57364950000.0,0.10134831460674157,63.597505543237254,2.340566730588763,17.42027027027027,3.820255061267981,48320950000.0,30.836598596043395,1.9715594271492105,1164684595.538,1043836922.612381,,,,,0.2706269300403371,,,,6.122502092911349,,,63.92415471894807,0.028762002494822525,-0.06287708126559835,0.09163908376042088,24.03996771297264,10.833118390508112,-1158752760.0
2010-03-08,6.415,6.5425,6.3855,6.5055,6.5055,112146540,0.009308820107051474,729569315.9699999,57898950000.0,0.10134831460674157,64.18952328159645,2.3623546452323634,17.58243243243243,3.855817128396377,48854950000.0,31.177377153797064,1.9933473417928107,979477733.732,1007998949.2166666,,,,,0.24729735704555836,,,,6.158978084062649,,,65.82337519919082,0.053702294106704684,-0.039561206191137746,0.09326350029784243,25.04389460501537,10.188008130081293,-1046606220.0
2010-03-09,6.4795,6.5405,6.3985,6.441,6.441,121402580,-0.009914687572054381,781954017.78,57324900000.0,0.10134831460674157,63.55310421286031,2.338932636990493,17.40810810810811,3.817587906233351,48280900000.0,30.81104020421187,1.9699253335509406,832131178.3,983594562.0852381,,,,,0.25158955711805586,,,,6.18583731415192,,,62.04209819514016,0.06748511751650721,-0.018151941449608754,0.08563705896611597,25.97611243334077,9.615384615384603,-1168008800.0
2010-03-10,6.4555,6.5585,6.424,6.5255,6.5255,112540620,0.013119080888060797,734383815.8100001,58076950000.0,0.10134831460674157,64.38686252771619,2.369617283446897,17.636486486486486,3.8676711507725092,49032950000.0,31.29097000638162,2.000609980007344,816785558.724,963502178.3842857,,,,,0.2508686153067285,,,,6.218186141375546,,,64.8878525865647,0.08425530545847248,0.002329507932007497,0.08192579752646499,26.927038168115,10.592322684518262,-1055468180.0
